entity_type,primary_id,name_or_price,rating_or_status,rel_id_or_email,rel_name_or_type,details,location_id,country,city,address
HOTEL,a6265735-732d-4fd9-9c94-d817d2b06210,Mcgee-Thomas Hotel,2,708b1d70-2e67-48ae-b587-bced06a52145,Valencia Group,Mcculloughfort,0520d3e1-eac9-4eee-8f5a-595c81e437d1,Botswana,Port Michael,1269 Patrick Center
HOTEL,38ef4161-114f-44fb-8e3d-4087ee3cf458,Martin-Santana Hotel,5,a44d9f38-b7f6-45b3-9872-72a42eec77bd,Gonzales-Jones,Catherinestad,5250cd89-968b-49d8-ba8c-617f0e3a1aef,Gabon,Donnabury,88761 Obrien Hills Suite 949
HOTEL,f37e8f7b-651e-4b7a-b7d3-9996de74b552,Maynard-Rhodes Hotel,3,a44d9f38-b7f6-45b3-9872-72a42eec77bd,Gonzales-Jones,Catherinestad,51e3c1c0-5c1e-40d4-aaf5-ef4db56ffbd2,Dominican Republic,East Kevin,40648 Dakota Cliffs Apt. 423
HOTEL,bf960e03-1f8e-423e-b394-3f388b65e47c,"Bradley, Frazier and Simpson Hotel",3,bbb0e83c-40be-435b-bb3f-7777a78a590f,Smith-Lloyd,Stevensonmouth,5c8c4f8c-36b1-40c2-9188-78f2a1db5baa,Taiwan,Bradleyhaven,309 Carlson Court
HOTEL,e199a6f4-f814-41ad-bd98-64917b623b24,"Parsons, Bass and Woodward Hotel",4,05b57a59-f5d0-4c32-ac3b-1d191b2f8e03,Johnson PLC,Lake Matthew,cd6d13f4-4f97-4b39-aa4d-7125284aae0e,Honduras,Ricardomouth,347 Heidi Mountain
HOTEL,4d0fd465-6c58-4c7f-9903-f0a8e196b136,Jones Inc Hotel,4,39d8ff83-ed6f-4b68-a6bc-19a998e55762,Schaefer PLC,Gibsonville,d7d52bc7-040f-493b-ad60-1aa1cb66ab51,Albania,East Daniel,982 Harris Shore
HOTEL,d75b3055-c06c-4229-b9f4-ad66c41a6871,Holden Inc Hotel,3,708b1d70-2e67-48ae-b587-bced06a52145,Valencia Group,Mcculloughfort,6f955e1f-0301-43e0-bfe1-31a9b429f435,Paraguay,Kramershire,25389 Nicholson Lodge
HOTEL,f9d07f01-3661-4f99-8033-ac9dcc1093c8,"Clements, Valdez and Dudley Hotel",1,d8bfbebb-e006-4f2c-a1e2-37e0e720c8ff,Hayes-Stone,Stephenside,78108d6a-89d1-48b6-987b-340d6469a616,Tajikistan,West Christian,9225 Christopher Pine Apt. 186
HOTEL,e8479b52-9193-45e3-98cf-cb770b7d7d0a,Maddox-Frank Hotel,2,05b57a59-f5d0-4c32-ac3b-1d191b2f8e03,Johnson PLC,Lake Matthew,baf88e78-dcfa-4329-a6fd-681de803990f,Holy See (Vatican City State),Port Brian,43212 Christine Valleys Suite 776
HOTEL,001f3fe1-925b-410a-b49d-3d25578991f4,Hernandez-Wallace Hotel,3,bbb0e83c-40be-435b-bb3f-7777a78a590f,Smith-Lloyd,Stevensonmouth,41c3d911-7ba4-4515-8acb-0a2215a6c9c3,Falkland Islands (Malvinas),Codychester,5622 Nicholas Lights Suite 967
HOTEL,2d46d26e-7db1-46e3-93e9-c933d93ee6db,"Rivera, Hicks and Hill Hotel",4,287140a4-09be-4b12-93cb-cb1e614c8fee,Weaver-Best,Waltertown,cf18b4df-1484-488e-ab8a-f2b0cd5156e9,Namibia,New Annaton,7624 Michael Fall Apt. 531
HOTEL,214481ef-fc95-4546-926c-c54e86545231,"Fisher, Hawkins and Hunter Hotel",3,05b57a59-f5d0-4c32-ac3b-1d191b2f8e03,Johnson PLC,Lake Matthew,936db9e7-9423-4de1-929e-01463e8af935,Vietnam,East Paulstad,8802 Rhonda Mission
HOTEL,696bfc9b-b7eb-48a9-9676-18612d899369,"Davis, Williams and Gross Hotel",3,57b9fa51-176b-4f0d-88aa-9074c135a475,Miller Inc,Foleyland,b3692917-e2f6-4341-84a8-bfc9feb0d407,Sri Lanka,Roberttown,1572 Hernandez Light
HOTEL,730d4fe6-26dd-43d4-9e72-6b54c0d57a3d,"Thompson, Christian and Guzman Hotel",4,39d8ff83-ed6f-4b68-a6bc-19a998e55762,Schaefer PLC,Gibsonville,6f955e1f-0301-43e0-bfe1-31a9b429f435,Paraguay,Kramershire,25389 Nicholson Lodge
HOTEL,b8a09bc3-4b12-4e12-9992-e699c87d110b,Smith Ltd Hotel,4,39d8ff83-ed6f-4b68-a6bc-19a998e55762,Schaefer PLC,Gibsonville,f117ff99-2a1b-40b9-8dfa-7876a4121696,Mongolia,West Zacharyhaven,994 Mitchell Walks Apt. 078
HOTEL,76879929-9502-4f66-ba64-399162f18b62,"King, Rhodes and Brown Hotel",3,39d8ff83-ed6f-4b68-a6bc-19a998e55762,Schaefer PLC,Gibsonville,86404f9d-abfc-41de-ac8f-272711a3aad2,Haiti,South Matthew,0881 Robinson Throughway Apt. 791
HOTEL,e408fd0d-9451-41c4-944e-2a411251f244,Smith-Lyons Hotel,2,d8bfbebb-e006-4f2c-a1e2-37e0e720c8ff,Hayes-Stone,Stephenside,0083417d-d560-4e9d-8409-b2864fd32f87,Haiti,Patrickton,58685 Deborah Forks
HOTEL,55eb494b-b7b4-4933-8928-83b3b8e0a530,Potter Inc Hotel,4,35c46f4a-c5fc-4d39-ad9e-e9a71e97dacd,Campbell PLC,Clarkview,2c7c063b-f472-460b-a254-500c6ca72d6e,Equatorial Guinea,Harristown,0090 Dwayne Ports
HOTEL,5aa812d2-d8d1-47e8-839c-93fac5e4cbd0,"Rodriguez, Bauer and Arnold Hotel",1,a44d9f38-b7f6-45b3-9872-72a42eec77bd,Gonzales-Jones,Catherinestad,69f47c2c-42b3-4a3e-b559-c1e1f1b82ea6,Guatemala,Carriebury,476 Melanie Crest
HOTEL,8af3a8fe-5366-4e32-817d-5d9f93670bc6,Mendoza Ltd Hotel,1,708b1d70-2e67-48ae-b587-bced06a52145,Valencia Group,Mcculloughfort,473f6464-8fb2-4dc3-8747-2f349701f25b,Philippines,East Ashleyhaven,735 Brooks Flats
HOTEL,2dbb84c3-2c22-4ec2-bb1b-8db757356f78,Walker-Serrano Hotel,1,bbb0e83c-40be-435b-bb3f-7777a78a590f,Smith-Lloyd,Stevensonmouth,3b63e10f-993b-4f9e-adc3-367df30f98e0,United Kingdom,Sullivanshire,1508 Jimenez Valley Apt. 544
HOTEL,fb142506-ddf6-4c6f-a552-3bad44dee9ac,"Riggs, Murray and Smith Hotel",5,bbb0e83c-40be-435b-bb3f-7777a78a590f,Smith-Lloyd,Stevensonmouth,9e5bbecc-7961-4437-9923-9aeff7956009,Finland,North Ashleyview,63119 Shelley Forks
HOTEL,bb3fa004-13ed-444e-a1c9-d5b4a2340969,"Higgins, Jefferson and Parker Hotel",3,57b9fa51-176b-4f0d-88aa-9074c135a475,Miller Inc,Foleyland,c097d151-1f3e-4200-a42f-508d96bafb5d,Tonga,South James,3215 Pham Extensions Apt. 608
HOTEL,4f645598-a2ae-43b9-890d-3f0a084fb2ab,Johnson LLC Hotel,1,a44d9f38-b7f6-45b3-9872-72a42eec77bd,Gonzales-Jones,Catherinestad,cd6d13f4-4f97-4b39-aa4d-7125284aae0e,Honduras,Ricardomouth,347 Heidi Mountain
HOTEL,721e2ea2-46b6-4b05-92c1-7b53e2d55b3a,Adams-Sandoval Hotel,1,14bc0247-e5ea-4e7d-b276-931ffd106faf,Miller Ltd,New James,51e3c1c0-5c1e-40d4-aaf5-ef4db56ffbd2,Dominican Republic,East Kevin,40648 Dakota Cliffs Apt. 423
